index_date;fertilizer_sales
1998-01;808248
1998-02;783732
1998-03;793043
1998-04;600047
1998-05;736615
1998-06;911410
1998-07;1207152
1998-08;1575375
1998-09;2029610
1998-10;2361048
1998-11;1813412
1998-12;1048878
1999-01;721039
1999-02;737447
1999-03;719145
1999-04;396718
1999-05;501985
1999-06;607874
1999-07;891494
1999-08;1478046
1999-09;2119669
1999-10;2422354
1999-11;1998518
1999-12;1095193
2000-01;902466
2000-02;900438
2000-03;865707
2000-04;616220
2000-05;871349
2000-06;1204278
2000-07;1581570
2000-08;2056287
2000-09;2202774
2000-10;2311834
2000-11;1828423
2000-12;1050870
2001-01;1000598
2001-02;823453
2001-03;732239
2001-04;602675
2001-05;874778
2001-06;1413698
2001-07;1898419
2001-08;2381052
2001-09;2180921
2001-10;2505701
2001-11;1677580
2001-12;978100
2002-01;1094933
2002-02;953664
2002-03;760647
2002-04;920308
2002-05;1428405
2002-06;1889534
2002-07;2237878
2002-08;2213613
2002-09;2411093
2002-10;2319041
2002-11;1788616
2002-12;1096536
2003-01;1110226
2003-02;1303585
2003-03;1108111
2003-04;1007443
2003-05;1423388
2003-06;1859329
2003-07;2350398
2003-08;2748122
2003-09;2954363
2003-10;3105386
2003-11;2335816
2003-12;1490065
2004-01;1584158
2004-02;902266
2004-03;902225
2004-04;1052960
2004-05;1598064
2004-06;2044184
2004-07;2104156
2004-08;2636088
2004-09;3063968
2004-10;3150843
2004-11;2403515
2004-12;1325062
2005-01;1017697
2005-02;1059181
2005-03;885927
2005-04;699183
2005-05;983388
2005-06;1277729
2005-07;1791856
2005-08;2587642
2005-09;3058556
2005-10;3153798
2005-11;2409177
2005-12;1270597
2006-01;1123916
2006-02;1110565
2006-03;950019
2006-04;697242
2006-05;828593
2006-06;1091476
2006-07;1666483
2006-08;2553623
2006-09;3111515
2006-10;3438171
2006-11;2812978
2006-12;1597153
2007-01;1571409
2007-02;1441857
2007-03;1587530
2007-04;1307289
2007-05;1654836
2007-06;1829387
2007-07;2218896
2007-08;2936944
2007-09;2949204
2007-10;3150471
2007-11;2387268
2007-12;1573902
2008-01;1857471
2008-02;1852384
2008-03;1732624
2008-04;1680678
2008-05;1972888
2008-06;2403717
2008-07;2452191
2008-08;2083541
2008-09;2196593
2008-10;2023363
2008-11;1196385
2008-12;977397
2009-01;1313453
2009-02;1362398
2009-03;1381814
2009-04;1053763
2009-05;1358762
2009-06;1795677
2009-07;2419063
2009-08;2550660
2009-09;2692668
2009-10;2867630
2009-11;2166517
2009-12;1437876
2010-01;1613857
2010-02;1541496
2010-03;1306271
2010-04;1116490
2010-05;1342309
2010-06;1705661
2010-07;2279621
2010-08;2667406
2010-09;3095265
2010-10;3400364
2010-11;2731701
2010-12;1715545
2011-01;1720856
2011-02;1739161
2011-03;1499974
2011-04;1377007
2011-05;2192847
2011-06;2578738
2011-07;2745061
2011-08;3117602
2011-09;3421724
2011-10;3391235
2011-11;2725334
2011-12;1816716
2012-01;1865687
2012-02;1724303
2012-03;1717828
2012-04;1556680
2012-05;2394281
2012-06;2469978
2012-07;2622968
2012-08;3478611
2012-09;3450451
2012-10;3633119
2012-11;2789009
2012-12;1834091
2013-01;2025527
2013-02;1742758
2013-03;1643967
2013-04;1777408
2013-05;2344927
2013-06;2615445
2013-07;2995704
2013-08;3674174
2013-09;3607524
2013-10;3853791
2013-11;2849101
2013-12;1951586
2014-01;2206456
2014-02;2082755
2014-03;1697722
2014-04;1759242
2014-05;2636060
2014-06;1697722
2014-07;3265635
2014-08;3606064
2014-09;3914292
2014-10;3706099
2014-11;2772825
2014-12;1988384
2015-01;1994141
2015-02;1839198
2015-03;1760519
2015-04;1383326
2015-05;2066726
2015-06;2667828
2015-07;3257789
2015-08;3569124
2015-09;3754797
2015-10;3384614
2015-11;2503545
2015-12;2020097
2016-01;2074356
2016-02;2173606
2016-03;1727051
2016-04;1573411
2016-05;2353852
2016-06;2986298
2016-07;3346162
2016-08;3924053
2016-09;3977139
2016-10;3660512
2016-11;3235239
2016-12;2675753
2017-01;2609254
2017-02;2044113
2017-03;1764616
2017-04;1379777
2017-05;2450954
2017-06;2882984
2017-07;3369869
2017-08;4058602
2017-09;4234427
2017-10;3998408
2017-11;3287855
2017-12;2357981
2018-01;2443088
2018-02;2118832
2018-03;1773530
2018-04;1721941
2018-05;1775477
2018-06;2985574
2018-07;3964453
2018-08;4824693
2018-09;4247932
2018-10;4060667
2018-11;3220441
2018-12;2369673
2019-01;2700739
2019-02;2225907
2019-03;1610886
2019-04;1706079
2019-05;2426705
2019-06;3052722
2019-07;3943799
2019-08;4353126
2019-09;4223100
2019-10;4123749
2019-11;3114889
2019-12;2632356
2020-01;3046695
2020-02;2571859
2020-03;1875676
2020-04;2059897
2020-05;3120093
2020-06;3611897
2020-07;4168557
2020-08;4414657
2020-09;4613620
2020-10;4173316
2020-11;3595904
2020-12;3311994
2021-01;3397952
2021-02;3042183
2021-03;2572269
2021-04;1944941
2021-05;3493952
2021-06;4383800
2021-07;5058905
2021-08;5009997
